Filename,0 Degrees,45 Degrees,90 Degrees,135 Degrees,180 Degrees,225 Degrees,270 Degrees,315 Degrees
9223372032559873720.jpg,2018.2717641341762,2119.5923709832327,1657.275194394848,2143.75026537073,2018.2717641341762,2119.5923709832327,1657.275194394848,2143.75026537073
9223372032559869963.jpg,4452.769876640402,4533.468952181404,4598.280737528598,4686.9968884422215,4452.769876640402,4533.468952181404,4598.280737528598,4686.9968884422215
228316.jpg,2113.8497170132237,2036.758150829953,1776.8996534108448,1983.4517167720885,2113.8497170132237,2036.758150829953,1776.8996534108448,1983.4517167720885
228302.jpg,1116.0183487965091,1609.747023478431,1837.419522839773,1609.3219343617327,1116.0183487965091,1609.747023478431,1837.419522839773,1609.3219343617327
9223372032559833847.jpg,3250.4287435970427,3429.2782735023084,3412.635018265328,3413.0466561362296,3250.4287435970427,3429.2782735023084,3412.635018265328,3413.0466561362296
9223372032559833853.jpg,2011.7277450536435,1936.4331561637819,1851.5735473613772,1996.0829880617132,2011.7277450536435,1936.4331561637819,1851.5735473613772,1996.0829880617132
9223372032559858189.jpg,4326.039531815457,4678.542880578553,3252.168643769308,4030.165311529799,4326.039531815457,4678.542880578553,3252.168643769308,4030.165311529799
9223372032559834053.jpg,4459.52246518194,5537.219935529994,5652.618155220229,5462.475311083102,4459.52246518194,5537.219935529994,5652.618155220229,5462.475311083102
228276.jpg,2998.613592473016,3068.4980933499824,2806.3713511378724,3028.7687356715824,2998.613592473016,3068.4980933499824,2806.3713511378724,3028.7687356715824
9223372032559834084.jpg,2202.5776473701076,2347.4643350813394,2320.3066747967905,2246.751439479214,2202.5776473701076,2347.4643350813394,2320.3066747967905,2246.751439479214
9223372032559833933.jpg,5827.22504503219,5801.227751489687,5553.811013958991,5788.02254553234,5827.22504503219,5801.227751489687,5553.811013958991,5788.02254553234
228289.jpg,2434.4825899729058,2286.8817585849065,1808.4083516409514,2519.317211706777,2434.4825899729058,2286.8817585849065,1808.4083516409514,2519.317211706777
9223372032559868923.jpg,5377.66040816256,5862.527489598782,5538.488846717558,5639.446160888581,5377.66040816256,5862.527489598782,5538.488846717558,5639.446160888581
9223372032559869383.jpg,1470.4046521598705,1841.0723807226302,1692.1077251487316,1854.0906739517782,1470.4046521598705,1841.0723807226302,1692.1077251487316,1854.0906739517782
9223372032559833927.jpg,10355.002336128915,9801.765803146158,8438.392343129122,9877.396123114793,10355.002336128915,9801.765803146158,8438.392343129122,9877.396123114793
9223372032559858176.jpg,3062.579343500264,2990.1121304371513,2252.908147978443,2917.857375904722,3062.579343500264,2990.1121304371513,2252.908147978443,2917.857375904722
9223372032559858162.jpg,3905.7751170310275,4266.358295816483,4300.744080403269,4422.261098072255,3905.7751170310275,4266.358295816483,4300.744080403269,4422.261098072255
9223372032559834245.jpg,817.3986334552399,787.4270518021359,804.0614058488484,795.2962649280671,817.3986334552399,787.4270518021359,804.0614058488484,795.2962649280671
9223372032559834251.jpg,824.381741975596,818.9509507508843,825.3982914683754,820.6269295675095,824.381741975596,818.9509507508843,825.3982914683754,820.6269295675095
9223372032559868512.jpg,4798.593793558741,5568.51261045997,4454.246499309939,5531.731520461164,4798.593793558741,5568.51261045997,4454.246499309939,5531.731520461164
9223372032559868506.jpg,2697.621519392787,3472.186771909687,2773.9256408221167,3448.4375272171997,2697.621519392787,3472.186771909687,2773.9256408221167,3448.4375272171997
9223372032559873898.jpg,3974.2019142920503,4097.100710214613,3464.249848016781,4043.794369765565,3974.2019142920503,4097.100710214613,3464.249848016781,4043.794369765565
9223372032559873873.jpg,6809.077433689112,9379.77115848179,6304.160756945217,8589.230302132986,6809.077433689112,9379.77115848179,6304.160756945217,8589.230302132986
9223372032559858348.jpg,2909.8310687246467,3622.3936079953937,3241.6799908063176,3513.2346879789134,2909.8310687246467,3622.3936079953937,3241.6799908063176,3513.2346879789134
9223372032559873867.jpg,3570.6650524309143,4621.525569872339,3860.9677994988424,4600.642267589735,3570.6650524309143,4621.525569872339,3860.9677994988424,4600.642267589735
9223372032559858412.jpg,4526.236908211713,4654.439745962692,4116.461013724976,4595.755725024331,4526.236908211713,4654.439745962692,4116.461013724976,4595.755725024331
9223372032559858360.jpg,4227.673654105979,4722.652607606243,4628.485620587819,4786.532303951913,4227.673654105979,4722.652607606243,4628.485620587819,4786.532303951913
9223372032559858406.jpg,3543.0658361259207,4018.810309712543,3733.7563044297544,3684.869206183623,3543.0658361259207,4018.810309712543,3733.7563044297544,3684.869206183623
9223372032559858361.jpg,3380.2525720423087,3732.280337586981,3375.032894853139,3819.6974636650393,3380.2525720423087,3732.280337586981,3375.032894853139,3819.6974636650393
9223372032559858407.jpg,2265.665307099277,2467.017128384043,2055.216116818004,2375.2640284595473,2265.665307099277,2467.017128384043,2055.216116818004,2375.2640284595473
9223372032559858413.jpg,4625.862112571766,4843.934677829414,4494.38129411997,4719.764796177926,4625.862112571766,4843.934677829414,4494.38129411997,4719.764796177926
