Filename,0 Degrees,45 Degrees,90 Degrees,135 Degrees,180 Degrees,225 Degrees,270 Degrees,315 Degrees
340294.jpg,2779.2155609625875,2714.045416389757,2186.0246864936767,2728.935201859957,2779.2155609625875,2714.045416389757,2186.0246864936767,2728.935201859957
9223372032559870573.jpg,1072.7074271097788,1390.7026537421748,936.6249281935252,1382.084893267576,1072.7074271097788,1390.7026537421748,936.6249281935252,1382.084893267576
9223372032559870567.jpg,3419.1116333332443,3466.5781669223297,2812.8322984127462,3651.9276463556716,3419.1116333332443,3466.5781669223297,2812.8322984127462,3651.9276463556716
9223372032559880657.jpg,1209.2806899968975,1287.2176054986182,1425.5753331047138,1385.95977530828,1209.2806899968975,1287.2176054986182,1425.5753331047138,1385.95977530828
294990.jpg,3372.68326495084,3242.0163733351505,3183.2174704863423,3397.4943859295627,3372.68326495084,3242.0163733351505,3183.2174704863423,3397.4943859295627
294984.jpg,1433.1665078045064,1729.8634301598124,1981.4414108061496,2118.7553523078423,1433.1665078045064,1729.8634301598124,1981.4414108061496,2118.7553523078423
232414.jpg,2101.1828005721095,1648.77019200305,1501.0203870909604,2206.7143065099453,2101.1828005721095,1648.77019200305,1501.0203870909604,2206.7143065099453
9223372032559845912.jpg,1638.7606258283079,1739.9788223795026,1434.1735508022161,1585.3525587237987,1638.7606258283079,1739.9788223795026,1434.1735508022161,1585.3525587237987
232372.jpg,2857.313183184144,2262.60810916099,2158.633138219937,2745.9212916940955,2857.313183184144,2262.60810916099,2158.633138219937,2745.9212916940955
232366.jpg,3366.349628795975,3048.5115707768146,3053.1128034189524,3780.6571917814704,3366.349628795975,3048.5115707768146,3053.1128034189524,3780.6571917814704
278509.jpg,3135.179984971551,2815.7031433134844,2064.511493881645,2786.4593514705334,3135.179984971551,2815.7031433134844,2064.511493881645,2786.4593514705334
9223372032559845906.jpg,1252.7485554609975,1343.1600611444487,1221.8863417949465,1295.4631880814238,1252.7485554609975,1343.1600611444487,1221.8863417949465,1295.4631880814238
232400.jpg,2695.1264132232727,2612.8064004097446,2262.0381436641474,2482.330739034092,2695.1264132232727,2612.8064004097446,2262.0381436641474,2482.330739034092
232428.jpg,1176.0577067292484,1173.5913110911513,1116.8468264064263,1152.8144991300057,1176.0577067292484,1173.5913110911513,1116.8468264064263,1152.8144991300057
278521.jpg,2841.01978787849,3126.6636054477517,3598.6465426355617,3471.3006383602055,2841.01978787849,3126.6636054477517,3598.6465426355617,3471.3006383602055
295697.jpg,1962.220992063238,1894.623552335084,1835.2045131186796,1960.276234819107,1962.220992063238,1894.623552335084,1835.2045131186796,1960.276234819107
295683.jpg,4837.02996808479,4676.630711257136,3410.035415345002,4858.954889132566,4837.02996808479,4676.630711257136,3410.035415345002,4858.954889132566
232399.jpg,604.8642629681485,594.8308772909993,557.2484179555615,583.4006316778566,604.8642629681485,594.8308772909993,557.2484179555615,583.4006316778566
9223372032559840881.jpg,476.75557405084527,527.4942241579369,510.48850243831123,445.29287292514533,476.75557405084527,527.4942241579369,510.48850243831123,445.29287292514533
232560.jpg,2904.294614798089,2440.5025000004166,2693.8255857036083,3152.385215646209,2904.294614798089,2440.5025000004166,2693.8255857036083,3152.385215646209
9223372032559870605.jpg,594.5016330275513,740.3570464677815,515.8842386830756,719.1298476503437,594.5016330275513,740.3570464677815,515.8842386830756,719.1298476503437
