Filename,Red,Green,Blue
9223372032559868515.jpg,228,235,241
9223372032559833934.jpg,255,255,244
9223372032559834083.jpg,68,67,73
9223372032559868930.jpg,71,54,47
9223372032559868924.jpg,13,0,0
9223372032559833920.jpg,0,0,0
9223372032559869384.jpg,251,252,246
9223372032559858159.jpg,23,46,88
9223372032559833908.jpg,80,45,15
9223372032559858171.jpg,226,233,241
9223372032559858165.jpg,93,72,71
228271.jpg,5,3,4
9223372032559833840.jpg,255,255,255
9223372032559868688.jpg,254,254,254
9223372032559833854.jpg,20,25,29
228311.jpg,0,0,0
9223372032559868677.jpg,0,0,0
228305.jpg,0,0,2
9223372032559869958.jpg,255,255,255
9223372032559873900.jpg,255,255,255
9223372032559869964.jpg,46,46,12
9223372032559873928.jpg,250,252,249
365749.jpg,238,231,203
365761.jpg,253,207,0
365763.jpg,46,34,36
9223372032559873725.jpg,255,255,255
9223372032559873719.jpg,14,0,0
9223372032559869966.jpg,2,20,22
9223372032559858239.jpg,0,0,0
9223372032559873902.jpg,50,43,27
9223372032559868488.jpg,42,42,42
228313.jpg,251,255,255
228307.jpg,255,255,255
9223372032559868675.jpg,61,59,60
9223372032559868649.jpg,114,124,99
9223372032559833842.jpg,26,25,20
9223372032559833856.jpg,4,3,1
228267.jpg,133,121,99
228273.jpg,138,81,0
9223372032559858173.jpg,67,114,186
9223372032559858167.jpg,0,0,0
9223372032559868932.jpg,255,255,255
228298.jpg,253,250,235
9223372032559834081.jpg,0,0,0
9223372032559833936.jpg,50,40,30
9223372032559833922.jpg,216,216,216
9223372032559868926.jpg,0,1,0
9223372032559868517.jpg,14,0,0
9223372032559834268.jpg,108,75,44
9223372032559834240.jpg,227,183,146
9223372032559834254.jpg,107,65,27
9223372032559858371.jpg,111,172,226
9223372032559858417.jpg,76,142,202
9223372032559858403.jpg,67,112,180
9223372032559858365.jpg,255,255,255
9223372032559873876.jpg,43,44,39
9223372032559858359.jpg,113,146,199
9223372032559858358.jpg,0,106,206
9223372032559873877.jpg,37,51,36
9223372032559858402.jpg,16,60,99
9223372032559858364.jpg,255,255,253
9223372032559858370.jpg,41,89,151
9223372032559858416.jpg,0,0,0
9223372032559834255.jpg,121,101,112
9223372032559834241.jpg,149,106,72
9223372032559834269.jpg,128,113,110
9223372032559868516.jpg,255,255,255
9223372032559833923.jpg,255,255,255
9223372032559868927.jpg,3,2,7
228299.jpg,231,230,209
9223372032559868933.jpg,156,73,59
9223372032559833937.jpg,255,255,255
9223372032559834080.jpg,0,0,0
9223372032559858166.jpg,177,177,169
9223372032559858172.jpg,19,19,19
228272.jpg,14,8,10
9223372032559833843.jpg,0,0,5
9223372032559868648.jpg,255,255,255
228306.jpg,211,208,201
228312.jpg,251,255,255
9223372032559868489.jpg,0,0,0
9223372032559858238.jpg,255,255,255
9223372032559873903.jpg,33,26,20
9223372032559869967.jpg,255,255,255
9223372032559873724.jpg,141,125,74
365762.jpg,255,255,243
9223372032559874010.jpg,246,221,141
9223372032559874004.jpg,158,126,65
9223372032559858288.jpg,234,237,254
365705.jpg,253,209,0
9223372032559873743.jpg,68,68,68
365711.jpg,255,255,0
9223372032559873757.jpg,74,69,40
9223372032559858263.jpg,252,252,254
9223372032559873780.jpg,255,255,255
9223372032559873794.jpg,125,126,121
9223372032559858277.jpg,111,104,98
9223372032559868607.jpg,255,254,239
9223372032559833603.jpg,16,14,27
9223372032559834178.jpg,49,44,40
9223372032559833617.jpg,255,255,255
9223372032559868613.jpg,23,14,15
9223372032559868820.jpg,3,5,17
9223372032559834193.jpg,255,255,255
9223372032559833830.jpg,105,82,66
9223372032559834187.jpg,255,255,255
9223372032559868834.jpg,246,246,234
9223372032559868808.jpg,120,53,37
9223372032559869337.jpg,255,254,255
9223372032559833777.jpg,30,26,27
9223372032559868954.jpg,204,191,172
9223372032559858129.jpg,8,13,7
9223372032559833788.jpg,0,0,0
9223372032559833950.jpg,22,23,25
9223372032559833944.jpg,32,27,21
9223372032559868798.jpg,255,255,255
9223372032559833978.jpg,46,46,46
9223372032559834226.jpg,223,215,204
9223372032559868559.jpg,255,255,255
365659.jpg,196,190,174
9223372032559833575.jpg,152,162,161
9223372032559868571.jpg,47,37,48
365671.jpg,245,229,193
365665.jpg,255,255,255
9223372032559868565.jpg,250,250,212
9223372032559873810.jpg,170,201,255
9223372032559873804.jpg,255,255,255
9223372032559858317.jpg,29,23,23
9223372032559858316.jpg,40,67,120
9223372032559873805.jpg,65,60,40
9223372032559873811.jpg,139,168,164
9223372032559868564.jpg,7,3,1
365664.jpg,244,233,213
9223372032559833574.jpg,6,6,6
365670.jpg,241,224,181
9223372032559868570.jpg,234,85,55
9223372032559868558.jpg,255,253,254
9223372032559834227.jpg,160,151,142
9223372032559833945.jpg,255,253,198
9223372032559868799.jpg,3,0,0
9223372032559833951.jpg,18,21,28
9223372032559833789.jpg,255,253,255
9223372032559858128.jpg,169,185,210
9223372032559869336.jpg,255,255,255
9223372032559868809.jpg,30,14,17
9223372032559834186.jpg,255,255,255
9223372032559833831.jpg,255,255,255
9223372032559868835.jpg,39,43,42
9223372032559868821.jpg,0,2,0
9223372032559834192.jpg,255,255,255
9223372032559833616.jpg,13,0,0
9223372032559834179.jpg,255,255,255
9223372032559868612.jpg,101,70,65
9223372032559868606.jpg,255,255,255
9223372032559833602.jpg,42,28,25
9223372032559873795.jpg,95,71,47
9223372032559858276.jpg,255,255,255
9223372032559858262.jpg,13,12,10
9223372032559873781.jpg,255,255,255
9223372032559873756.jpg,255,255,255
365710.jpg,252,216,0
9223372032559873742.jpg,0,0,0
365704.jpg,252,253,239
9223372032559874005.jpg,207,175,102
9223372032559874011.jpg,204,175,109
9223372032559874007.jpg,75,39,39
9223372032559873768.jpg,37,38,32
9223372032559874013.jpg,56,10,13
365712.jpg,73,61,61
9223372032559873754.jpg,130,108,50
365706.jpg,249,209,0
9223372032559873740.jpg,23,17,17
9223372032559858248.jpg,229,236,246
9223372032559858274.jpg,254,254,254
9223372032559873797.jpg,32,0,0
9223372032559873783.jpg,63,9,58
9223372032559858260.jpg,255,255,253
9223372032559833628.jpg,188,149,120
9223372032559868638.jpg,0,0,2
9223372032559868610.jpg,0,0,0
9223372032559833614.jpg,1,1,1
9223372032559833600.jpg,253,253,251
9223372032559868604.jpg,31,23,2
9223372032559868837.jpg,16,21,40
9223372032559833833.jpg,0,0,0
9223372032559834184.jpg,255,255,255
9223372032559834190.jpg,255,255,255
9223372032559868823.jpg,255,255,255
9223372032559869308.jpg,19,33,36
9223372032559868943.jpg,255,255,255
9223372032559833947.jpg,17,15,16
9223372032559833953.jpg,255,255,251
9223372032559834231.jpg,94,108,121
9223372032559834225.jpg,21,21,21
365666.jpg,252,250,235
9223372032559868566.jpg,12,4,2
9223372032559868572.jpg,248,205,28
365672.jpg,210,222,222
9223372032559834219.jpg,255,255,255
9223372032559833576.jpg,255,237,181
9223372032559873807.jpg,28,30,25
365699.jpg,53,40,60
9223372032559868599.jpg,70,63,53
9223372032559873813.jpg,255,255,255
9223372032559833589.jpg,255,255,255
9223372032559858328.jpg,41,118,200
9223372032559858314.jpg,220,225,219
9223372032559858315.jpg,98,88,86
9223372032559873812.jpg,0,0,0
9223372032559858329.jpg,8,8,8
9223372032559833588.jpg,254,252,255
9223372032559868598.jpg,72,21,17
365698.jpg,253,253,241
365673.jpg,234,223,193
9223372032559868573.jpg,3,3,3
9223372032559833577.jpg,121,124,115
9223372032559834218.jpg,246,231,202
9223372032559868567.jpg,255,255,243
9223372032559834224.jpg,21,21,21
9223372032559834230.jpg,245,223,210
9223372032559833952.jpg,29,36,54
9223372032559868942.jpg,7,9,22
9223372032559877137.jpg,7,6,4
9223372032559869453.jpg,2,1,6
9223372032559834191.jpg,255,255,255
9223372032559868822.jpg,18,22,23
9223372032559868836.jpg,255,255,255
9223372032559834185.jpg,45,50,56
9223372032559833832.jpg,0,7,0
9223372032559833601.jpg,17,16,22
9223372032559868605.jpg,7,11,20
9223372032559868611.jpg,134,138,150
9223372032559833615.jpg,4,5,0
9223372032559868639.jpg,45,23,12
9223372032559833629.jpg,175,166,138
9223372032559873782.jpg,30,33,38
9223372032559858261.jpg,254,254,254
9223372032559858275.jpg,255,251,255
9223372032559873796.jpg,255,255,255
9223372032559858249.jpg,14,42,79
9223372032559873741.jpg,35,43,46
365707.jpg,102,71,69
365713.jpg,254,230,0
9223372032559874012.jpg,255,255,255
9223372032559873769.jpg,73,90,84
9223372032559874006.jpg,255,255,255
365717.jpg,72,66,54
9223372032559873751.jpg,255,255,255
365703.jpg,249,209,0
9223372032559873745.jpg,106,111,140
9223372032559874002.jpg,44,48,51
9223372032559873779.jpg,255,255,255
9223372032559874016.jpg,174,161,144
9223372032559873792.jpg,40,26,23
9223372032559858271.jpg,178,198,222
9223372032559858265.jpg,0,4,0
9223372032559873786.jpg,1,0,0
9223372032559858259.jpg,5,5,5
9223372032559833611.jpg,171,171,171
9223372032559868615.jpg,0,0,2
9223372032559868601.jpg,49,44,40
9223372032559833605.jpg,162,164,161
9223372032559833639.jpg,2,2,2
9223372032559833836.jpg,250,248,249
9223372032559834181.jpg,16,12,11
9223372032559868832.jpg,201,104,95
9223372032559868826.jpg,255,255,253
9223372032559834195.jpg,255,255,243
9223372032559833942.jpg,255,254,255
9223372032559868946.jpg,0,0,0
9223372032559868952.jpg,0,1,0
9223372032559833956.jpg,1,1,3
365663.jpg,240,225,182
9223372032559868563.jpg,14,14,14
9223372032559833567.jpg,255,255,255
9223372032559834208.jpg,255,255,255
9223372032559833573.jpg,215,201,175
9223372032559868577.jpg,249,255,253
365677.jpg,189,174,155
9223372032559834220.jpg,255,253,255
9223372032559873802.jpg,255,255,255
9223372032559858339.jpg,209,209,217
9223372032559833598.jpg,184,171,152
9223372032559868588.jpg,255,66,44
9223372032559873816.jpg,35,33,36
365688.jpg,255,255,255
365689.jpg,255,253,254
9223372032559873817.jpg,255,255,255
9223372032559868589.jpg,47,42,38
9223372032559873803.jpg,125,74,19
9223372032559833599.jpg,163,160,153
9223372032559858338.jpg,93,131,196
9223372032559834221.jpg,255,253,255
9223372032559833572.jpg,87,78,39
365676.jpg,245,229,193
9223372032559868576.jpg,84,34,33
9223372032559868562.jpg,255,255,255
365662.jpg,188,168,133
9223372032559834209.jpg,255,255,255
9223372032559833566.jpg,251,253,252
9223372032559868953.jpg,246,246,234
9223372032559833957.jpg,31,29,34
9223372032559833943.jpg,112,106,118
9223372032559868947.jpg,24,21,16
9223372032559869456.jpg,255,255,255
9223372032559868827.jpg,255,237,213
9223372032559834194.jpg,255,255,255
9223372032559834180.jpg,50,41,32
9223372032559833837.jpg,0,0,0
9223372032559868833.jpg,4,10,10
9223372032559833638.jpg,1,0,5
9223372032559868600.jpg,34,30,29
9223372032559833604.jpg,24,22,23
9223372032559833610.jpg,1,0,40
9223372032559868614.jpg,2,3,7
9223372032559858258.jpg,1,1,1
9223372032559858264.jpg,221,227,239
9223372032559873787.jpg,255,255,255
9223372032559873793.jpg,20,17,0
9223372032559858270.jpg,103,181,255
9223372032559874017.jpg,255,255,255
9223372032559873778.jpg,39,0,0
9223372032559874003.jpg,73,71,12
9223372032559873744.jpg,255,255,255
365702.jpg,89,82,90
9223372032559873750.jpg,42,43,47
365716.jpg,71,68,77
365700.jpg,59,44,41
9223372032559873746.jpg,62,43,37
365714.jpg,243,205,0
9223372032559873752.jpg,255,255,255
9223372032559874015.jpg,236,236,236
365728.jpg,62,43,45
9223372032559874001.jpg,201,209,186
9223372032559873785.jpg,255,235,148
9223372032559858266.jpg,255,255,255
9223372032559858272.jpg,195,173,160
9223372032559833606.jpg,153,152,150
9223372032559834169.jpg,0,0,12
9223372032559868602.jpg,0,0,0
9223372032559833612.jpg,11,12,7
