Filename,0 Degrees,45 Degrees,90 Degrees,135 Degrees,180 Degrees,225 Degrees,270 Degrees,315 Degrees
341834.jpg,312.11441038427853,715.3449718330376,909.7361768537079,708.7856170253883,312.11441038427853,715.3449718330376,909.7361768537079,708.7856170253883
9223372032559885934.jpg,967.7305542795184,1064.9407337074554,1047.6121212119576,1023.001354312189,967.7305542795184,1064.9407337074554,1047.6121212119576,1023.001354312189
194069.jpg,7241.472191574333,7585.190527633823,4844.92499911538,7490.477464239915,7241.472191574333,7585.190527633823,4844.92499911538,7490.477464239915
228128.jpg,1236.2983255170832,1272.4323424669547,1107.7079038438633,1227.9853791991495,1236.2983255170832,1272.4323424669547,1107.7079038438633,1227.9853791991495
209680.jpg,3030.7990443424965,2837.056807166967,2376.54961937601,3024.9500418995344,3030.7990443424965,2837.056807166967,2376.54961937601,3024.9500418995344
209858.jpg,2176.214580493999,2129.779673419684,1609.7869094715898,2199.82054154989,2176.214580493999,2129.779673419684,1609.7869094715898,2199.82054154989
346829.jpg,4081.134026252723,3896.4308640683025,3556.5297018332317,3462.6851384619317,4081.134026252723,3896.4308640683025,3556.5297018332317,3462.6851384619317
209694.jpg,5325.44878974109,5322.315001749022,4671.658826717876,5067.166297744869,5325.44878974109,5322.315001749022,4671.658826717876,5067.166297744869
365028.jpg,1483.190322649234,1330.54977124234,873.226983727094,1221.966126362177,1483.190322649234,1330.54977124234,873.226983727094,1221.966126362177
250087.jpg,661.9908368383512,830.2018580354191,820.8781837204393,694.151677370281,661.9908368383512,830.2018580354191,820.8781837204393,694.151677370281
360636.jpg,1462.4721677383245,1388.1252458370118,1052.02750136826,1413.0317713836366,1462.4721677383245,1388.1252458370118,1052.02750136826,1413.0317713836366
9223372032559885920.jpg,1165.2914982233517,2236.435805178402,2446.3240476187225,1906.4380245843765,1165.2914982233517,2236.435805178402,2446.3240476187225,1906.4380245843765
344970.jpg,1412.9518712764,1527.1855188880497,1432.037377763515,1448.5291939443127,1412.9518712764,1527.1855188880497,1432.037377763515,1448.5291939443127
228114.jpg,2954.2516383082293,3155.52027103004,3283.2579980187184,3487.975771347653,2954.2516383082293,3155.52027103004,3283.2579980187184,3487.975771347653
201586.jpg,14773.926746807092,16689.248633730218,16239.548910518113,16217.620684140325,14773.926746807092,16689.248633730218,16239.548910518113,16217.620684140325
187997.jpg,1953.045364956809,1966.5611520663815,1708.4817642037617,2023.166386407727,1953.045364956809,1966.5611520663815,1708.4817642037617,2023.166386407727
196642.jpg,382.54297659043647,554.9120172422477,577.7311963714798,508.9402697349534,382.54297659043647,554.9120172422477,577.7311963714798,508.9402697349534
9223372032559885908.jpg,2044.998075216985,2261.603633074135,2099.1611785715663,2414.851488314206,2044.998075216985,2261.603633074135,2099.1611785715663,2414.851488314206
194055.jpg,2067.542111186346,1917.2777208140596,1491.419100794958,1806.1106408474511,2067.542111186346,1917.2777208140596,1491.419100794958,1806.1106408474511
9223372032559902873.jpg,1301.0777233199371,1326.6277429374575,1289.796049803464,1354.1986850022888,1301.0777233199371,1326.6277429374575,1289.796049803464,1354.1986850022888
204398.jpg,4736.412290159278,5155.601159065617,5253.910995950689,5183.0079412686755,4736.412290159278,5155.601159065617,5253.910995950689,5183.0079412686755
365000.jpg,1434.432452810609,1310.668414587094,1049.9111397484457,1164.8888144784726,1434.432452810609,1310.668414587094,1049.9111397484457,1164.8888144784726
209864.jpg,1353.2280695673105,1301.0853088454223,1155.8968526657286,1346.8877449162883,1353.2280695673105,1301.0853088454223,1155.8968526657286,1346.8877449162883
365014.jpg,1287.8703295457972,1185.6916268048662,1076.1058340131906,1350.6578610935426,1287.8703295457972,1185.6916268048662,1076.1058340131906,1350.6578610935426
209870.jpg,2989.9535100319004,2853.19215167909,1484.8084316543423,2076.8377014175157,2989.9535100319004,2853.19215167909,1484.8084316543423,2076.8377014175157
194041.jpg,3166.4151932835803,3680.126636041084,3004.778366074579,3069.516517870614,3166.4151932835803,3680.126636041084,3004.778366074579,3069.516517870614
228100.jpg,1331.3189045754175,1425.2075862390145,1289.5721107779768,1436.5235405527058,1331.3189045754175,1425.2075862390145,1289.5721107779768,1436.5235405527058
201592.jpg,15519.25099562398,17010.33415561724,16432.027627147814,17193.159004418078,15519.25099562398,17010.33415561724,16432.027627147814,17193.159004418078
196656.jpg,910.7120307680565,1195.7374951225486,1220.2135760506465,1080.7808556293435,910.7120307680565,1195.7374951225486,1220.2135760506465,1080.7808556293435
187983.jpg,2508.415879328582,3298.535706553228,2750.1145026041445,2920.21363916568,2508.415879328582,3298.535706553228,2750.1145026041445,2920.21363916568
187968.jpg,3235.986907695413,3501.304206095263,3323.977397159312,3524.0816882869076,3235.986907695413,3501.304206095263,3323.977397159312,3524.0816882869076
201579.jpg,10896.036956819768,12421.649136309214,11246.204330800674,12533.49060539365,10896.036956819768,12421.649136309214,11246.204330800674,12533.49060539365
196865.jpg,572.2629984545283,749.5940499169973,854.0862244554867,786.0756679873722,572.2629984545283,749.5940499169973,854.0862244554867,786.0756679873722
204401.jpg,3841.2627871001077,4204.674957456589,4399.938979329123,4238.541369999467,3841.2627871001077,4204.674957456589,4399.938979329123,4238.541369999467
214612.jpg,2794.966359918453,2733.7937265033343,2245.1589811669783,2442.8868730686418,2794.966359918453,2733.7937265033343,2245.1589811669783,2442.8868730686418
202070.jpg,8436.882296901898,8689.428575123791,8158.01298511566,8878.932866867583,8436.882296901898,8689.428575123791,8158.01298511566,8878.932866867583
204367.jpg,2342.6813054187555,1829.3857716567672,1567.512697521525,2340.617917310553,2342.6813054187555,1829.3857716567672,1567.512697521525,2340.617917310553
250736.jpg,1101.1663659089018,959.5366857540096,1037.6799288884667,1216.66526461928,1101.1663659089018,959.5366857540096,1037.6799288884667,1216.66526461928
250722.jpg,3042.9758146308573,2744.4179671538814,2502.1207095339546,2932.3208645329673,3042.9758146308573,2744.4179671538814,2502.1207095339546,2932.3208645329673
204373.jpg,3977.278095471478,4655.349217700448,4526.392228570443,4438.221061750482,3977.278095471478,4655.349217700448,4526.392228570443,4438.221061750482
204415.jpg,538.8577301612104,842.6546543083821,991.7451526845291,768.3371335533079,538.8577301612104,842.6546543083821,991.7451526845291,768.3371335533079
214606.jpg,4199.586235118443,4252.243561674694,3418.3939653233224,4226.591754328619,4199.586235118443,4252.243561674694,3418.3939653233224,4226.591754328619
193909.jpg,2758.662268912311,2479.3738114069097,2036.4479651964891,2357.9895592572593,2758.662268912311,2479.3738114069097,2036.4479651964891,2357.9895592572593
202064.jpg,7992.496758642303,8572.980062498928,8586.167861583503,8667.471199004995,7992.496758642303,8572.980062498928,8586.167861583503,8667.471199004995
196871.jpg,306.52604678362974,554.1846196717039,782.9393327586063,619.4965054208172,306.52604678362974,554.1846196717039,782.9393327586063,619.4965054208172
360805.jpg,1276.7724962961152,1662.7171060633814,1752.3893265306103,1712.259328285575,1276.7724962961152,1662.7171060633814,1752.3893265306103,1712.259328285575
194096.jpg,2137.586166277371,2132.4185245357403,2144.0798086223926,2180.0601766519208,2137.586166277371,2132.4185245357403,2144.0798086223926,2180.0601766519208
193921.jpg,1834.55879130676,1833.8972871209023,1468.312355234993,1634.3927201406118,1834.55879130676,1833.8972871209023,1468.312355234993,1634.3927201406118
201545.jpg,15566.812101910096,17103.180982339494,16797.81482751962,16854.255600678047,15566.812101910096,17103.180982339494,16797.81482751962,16854.255600678047
196681.jpg,861.8931501000126,968.9055178082089,957.9405082063736,913.7798610980603,861.8931501000126,968.9055178082089,957.9405082063736,913.7798610980603
196859.jpg,560.4267077076064,880.2079148064768,989.2661872808962,888.043945312464,560.4267077076064,880.2079148064768,989.2661872808962,888.043945312464
201551.jpg,7607.097268305978,9524.103805584515,7923.942968664507,9762.157066855303,7607.097268305978,9524.103805584515,7923.942968664507,9762.157066855303
196695.jpg,264.81405161729424,1020.3766599502128,1424.917055155973,1065.3532911150662,264.81405161729424,1020.3766599502128,1424.917055155973,1065.3532911150662
250078.jpg,2539.815436717552,2602.666513560147,2340.4674996474946,2454.96877651324,2539.815436717552,2602.666513560147,2340.4674996474946,2454.96877651324
360811.jpg,1397.8120053277548,2532.435191156474,2864.7247942048734,2389.723345514774,1397.8120053277548,2532.435191156474,2864.7247942048734,2389.723345514774
194082.jpg,822.3933615020993,1192.1323444690524,1254.7852364728906,1098.416621883693,822.3933615020993,1192.1323444690524,1254.7852364728906,1098.416621883693
193935.jpg,3866.1244150734,3860.0309018199514,3796.8456383704442,4117.3580804517005,3866.1244150734,3860.0309018199514,3796.8456383704442,4117.3580804517005
