Filename,Channel 1 Mean,Channel 1 Standard Deviation,Channel 1 Skewness,Channel 2 Mean,Channel 2 Standard Deviation,Channel 2 Skewness,Channel 3 Mean,Channel 3 Standard Deviation,Channel 3 Skewness,Color Richness,Color Palette 1 Red,Color Palette 1 Green,Color Palette 1 Blue,Color Palette 2 Red,Color Palette 2 Green,Color Palette 2 Blue,Color Palette 3 Red,Color Palette 3 Green,Color Palette 3 Blue,Color Palette 4 Red,Color Palette 4 Green,Color Palette 4 Blue,Color Palette 5 Red,Color Palette 5 Green,Color Palette 5 Blue
366091.jpg,116.027654578877,50.61607465485885,0.5927708892215293,18.753126671122995,12.469219029750649,14.255232084337457,48.21719084224599,73.46958360325652,2.2870856752952715,0.0651336898395722,185.18965517241378,126.58620689655174,101.98275862068965,148.3398058252427,89.04368932038835,60.970873786407786,82.10526315789481,43.127192982456165,27.40789473684206,204.9871244635194,183.1502145922747,190.7081545064377,115.29090909090912,64.23636363636366,43.465454545454506
240724.jpg,82.81813736263736,55.166618077936924,0.5195270637512182,6.87829532967033,3.9760035440139085,25.92847853159988,143.9451346153846,122.55319478894212,-0.24693587278779583,0.05686401098901099,189.76146788990826,166.93577981651376,156.99082568807341,117.60869565217389,97.25217391304346,100.70434782608697,152.64406779661016,128.24293785310732,124.98870056497177,69.14999999999998,56.772222222222204,64.1388888888889,37.28639618138434,29.692124105011963,37.30310262529834
208984.jpg,43.90639633914255,33.11403501032486,2.1760546480955294,22.40970568125257,62.640862892458614,3.383522183161222,18.403062885250307,51.316328185046224,4.2419473841288635,0.13633835030630576,198.65,172.7,128.75,140.78688524590166,96.50819672131146,57.885245901639344,73.95364238410598,56.17880794701985,43.84768211920529,29.33137829912025,16.451612903225833,14.243401759530776,44.365339578454346,37.13817330210773,32.65573770491803
363857.jpg,130.55890007598785,77.90608000700357,0.271957536566246,76.12033941236069,109.06299549315992,0.981853048791455,69.33933795592705,93.53263390122675,1.3787960196120608,0.09545497720364741,192.2222222222222,175.17777777777778,152.62222222222223,34.142857142857196,27.37912087912082,26.318681318681314,151.74056603773585,114.14150943396227,53.74528301886793,233.4729241877257,240.187725631769,238.3574007220214,100.32042253521132,75.70774647887316,37.21126760563377
210113.jpg,110.44514263322884,56.78186862977805,0.13836550947339457,115.5002539184953,117.225527500375,0.25885189460506575,49.753399686520375,76.2445487349513,2.1641834158350233,0.2773040752351097,184.37962962962962,202.76851851851853,199.0555555555555,162.18260869565216,163.5217391304348,131.23478260869564,40.69729729729734,26.091891891891947,23.15675675675672,135.62671232876713,123.57534246575344,72.25,106.32333333333334,70.78333333333336,45.76999999999998
195823.jpg,16.30169115396388,34.60312354045744,3.9027278721326555,5.396539638812366,30.21949506216556,7.966849442150751,186.30035965717784,110.97522159037656,-1.0043823237117397,0.03702020202020202,165.7142857142857,127.35714285714286,93.14285714285714,219.82352941176472,190.76470588235296,152.41176470588235,106.25714285714287,74.17142857142856,53.48571428571428,45.18461538461539,33.06153846153846,27.615384615384617,8.302646720368218,7.039125431530525,9.466052934407358
215043.jpg,200.2230878274268,36.24175754444893,-2.640254793489031,141.14361787365178,126.05952389633057,-0.2096303478614886,12.279385208012327,3.721189190338173,5.3060609359273805,0.04916640986132512,66.45945945945945,53.67567567567568,37.081081081081095,128.85416666666669,115.91666666666669,92.22916666666666,180.16806722689074,168.47058823529414,139.85714285714283,206.32131147540983,198.9639344262295,174.70819672131148,221.4623217922607,216.31364562118122,196.41344195519352
195837.jpg,57.47437566137566,46.63991122099089,0.6018374987178,211.73431569664902,84.24135921462297,-2.068462441142355,114.65604938271605,122.62222309059683,0.26163485260311714,0.08322927689594356,174.91666666666666,152.33333333333334,90.91666666666666,90.06837606837607,141.10256410256406,101.47863247863248,63.63870967741936,99.58709677419353,78.90967741935484,40.79324894514768,66.9620253164557,57.75949367088607,15.004175365344409,18.985386221294313,19.07098121085604
215057.jpg,38.59481241914619,41.11385518562859,2.0495229823916996,217.27863906856405,83.92065769033046,-2.1844394032833625,151.4431578266494,122.44030870540746,-0.36231336978309003,0.06795989650711513,213.9444444444444,206.08333333333331,187.63888888888889,76.0,100.46835443037975,80.24050632911391,43.54591836734693,65.57653061224491,55.60204081632652,21.01992031872509,33.402390438247025,32.67330677290836,6.490867579908684,11.952054794520574,13.762557077625573
240718.jpg,184.35133333333334,33.63992940841545,-0.7604953667567731,42.20771988795518,85.35956856079534,2.053917447677012,48.67993837535014,81.34404981378937,2.079605283474164,0.3026498599439776,123.75531914893621,90.20212765957442,74.54255319148939,189.45,141.49374999999998,109.26250000000002,159.7526315789474,162.97368421052633,165.12631578947367,207.93308550185876,178.74721189591077,154.76579925650557,229.83623693379792,215.06271777003477,189.82578397212546
