Filename,0 Degrees,45 Degrees,90 Degrees,135 Degrees,180 Degrees,225 Degrees,270 Degrees,315 Degrees
311965.jpg,2604.7955108360434,2716.236808731374,2868.5503778970774,2970.512467687136,2604.7955108360434,2716.236808731374,2868.5503778970774,2970.512467687136
311971.jpg,3329.5077140662224,3859.275333719686,3569.470396503548,3793.838242845476,3329.5077140662224,3859.275333719686,3569.470396503548,3793.838242845476
347289.jpg,1549.9701816615436,1843.2320283567753,1965.6051439435555,1981.0168088033026,1549.9701816615436,1843.2320283567753,1965.6051439435555,1981.0168088033026
326893.jpg,2138.7900769232306,3373.7742762093376,3447.3812977093207,3129.1375144530257,2138.7900769232306,3373.7742762093376,3447.3812977093207,3129.1375144530257
311959.jpg,2681.0950537631534,4139.215860590967,3499.555220314126,4151.130116821497,2681.0950537631534,4139.215860590967,3499.555220314126,4151.130116821497
268242.jpg,4866.035404899739,5423.899390253919,5073.175465300327,5478.994976976004,4866.035404899739,5423.899390253919,5073.175465300327,5478.994976976004
326887.jpg,1480.8919269105995,1603.6862258107785,1463.0635240478664,1504.3513897451621,1480.8919269105995,1603.6862258107785,1463.0635240478664,1504.3513897451621
318996.jpg,7942.676592424341,8190.1142167617345,8168.347762003212,8118.47890535858,7942.676592424341,8190.1142167617345,8168.347762003212,8118.47890535858
347276.jpg,837.1878865199392,1467.1113583270262,1654.1386693576874,1341.033803661433,837.1878865199392,1467.1113583270262,1654.1386693576874,1341.033803661433
191313.jpg,2855.7001557308145,2971.6285186176015,3021.4711897325637,3047.146799993744,2855.7001557308145,2971.6285186176015,3021.4711897325637,3047.146799993744
191307.jpg,2979.4355193378065,2956.205062996555,3018.939127211069,3077.803008523417,2979.4355193378065,2956.205062996555,3018.939127211069,3077.803008523417
281184.jpg,1417.2423053557898,1375.3739265128413,1400.8383110089865,1202.6046546881755,1417.2423053557898,1375.3739265128413,1400.8383110089865,1202.6046546881755
365570.jpg,6343.467962617077,8797.754620922598,6423.3333552145905,8778.490687194364,6343.467962617077,8797.754620922598,6423.3333552145905,8778.490687194364
281190.jpg,1412.070364081707,1528.964315953529,1272.7574262399155,1408.034438772718,1412.070364081707,1528.964315953529,1272.7574262399155,1408.034438772718
330559.jpg,1949.1364113941668,2887.9012647301024,2782.9539185494014,2988.9637574939193,1949.1364113941668,2887.9012647301024,2782.9539185494014,2988.9637574939193
281147.jpg,3984.6253076837706,3944.967571032893,3529.7002308056235,3861.2635626276383,3984.6253076837706,3944.967571032893,3529.7002308056235,3861.2635626276383
