Filename,0 Degrees,45 Degrees,90 Degrees,135 Degrees,180 Degrees,225 Degrees,270 Degrees,315 Degrees
193074.jpg,2192.8695675420363,3286.1149475059733,3526.9715589889574,3236.3412865534183,2192.8695675420363,3286.1149475059733,3526.9715589889574,3236.3412865534183
233252.jpg,4449.180052376221,4654.522453769721,3683.6489574210377,4608.208642658149,4449.180052376221,4654.522453769721,3683.6489574210377,4608.208642658149
9223372032559827371.jpg,9644.491813302651,9164.765499337855,8217.232064617225,9051.058495360874,9644.491813302651,9164.765499337855,8217.232064617225,9051.058495360874
9223372032559850847.jpg,1035.186329854761,1230.001339221172,1229.90825256437,1246.966722832515,1035.186329854761,1230.001339221172,1229.90825256437,1246.966722832515
9223372032559850853.jpg,462.62839605093166,494.19238329990026,462.75052038372337,434.37183034722113,462.62839605093166,494.19238329990026,462.75052038372337,434.37183034722113
233246.jpg,6075.085810280557,6363.298977712628,6409.708074695335,6384.8150531955225,6075.085810280557,6363.298977712628,6409.708074695335,6384.8150531955225
242454.jpg,5141.055890990185,5413.602733281431,4398.444188134841,5178.699029502322,5141.055890990185,5413.602733281431,4398.444188134841,5178.699029502322
9223372032559840315.jpg,5529.0883623115,5413.399965652915,4555.423065964343,5426.417992639176,5529.0883623115,5413.399965652915,4555.423065964343,5426.417992639176
242440.jpg,7566.317278669797,7428.501188183351,6969.561147589313,7333.439631503937,7566.317278669797,7428.501188183351,6969.561147589313,7333.439631503937
233291.jpg,3192.873658356572,3632.0764066812294,3459.53224278779,3629.125833997483,3192.873658356572,3632.0764066812294,3459.53224278779,3629.125833997483
9223372032559850884.jpg,1135.2658987052096,1783.5008189899531,2135.2115973069945,1761.6366907441814,1135.2658987052096,1783.5008189899531,2135.2115973069945,1761.6366907441814
9223372032559850890.jpg,474.7951792542504,822.5834866033225,913.8867082779799,825.5240819548181,474.7951792542504,822.5834866033225,913.8867082779799,825.5240819548181
233285.jpg,2626.063851255397,2675.0366494818018,2474.509018398283,2585.2168143716376,2626.063851255397,2675.0366494818018,2474.509018398283,2585.2168143716376
222161.jpg,3779.438126382965,3952.233099852188,4095.330227325293,4125.467854857572,3779.438126382965,3952.233099852188,4095.330227325293,4125.467854857572
317870.jpg,4224.491272280659,4595.041038391645,4426.25203517309,4645.478547808232,4224.491272280659,4595.041038391645,4426.25203517309,4645.478547808232
222175.jpg,3083.9309579255655,4472.436642620495,3837.2044285167503,4304.93428756877,3083.9309579255655,4472.436642620495,3837.2044285167503,4304.93428756877
317864.jpg,4465.287187109697,4689.869658109617,4417.307488074067,4733.079230492873,4465.287187109697,4689.869658109617,4417.307488074067,4733.079230492873
233736.jpg,3738.805959393652,3432.5191572728754,3102.722388292243,3641.8797324946545,3738.805959393652,3432.5191572728754,3102.722388292243,3641.8797324946545
9223372032559854189.jpg,1590.4508378872306,3497.686549344709,3483.4598643392865,3406.755391235931,1590.4508378872306,3497.686549344709,3483.4598643392865,3406.755391235931
317858.jpg,4398.246849862064,4879.067055992925,4019.133331752373,4584.051038299527,4398.246849862064,4879.067055992925,4019.133331752373,4584.051038299527
222149.jpg,7399.978273381397,7220.05445445663,6452.330048383576,7143.056277315839,7399.978273381397,7220.05445445663,6452.330048383576,7143.056277315839
233722.jpg,4602.986469789153,5299.1040735076585,5758.547397962544,5510.747757029798,4602.986469789153,5299.1040735076585,5758.547397962544,5510.747757029798
223531.jpg,7167.81508045064,7626.505867873031,7417.041438640836,7880.018908767778,7167.81508045064,7626.505867873031,7417.041438640836,7880.018908767778
9223372032559854162.jpg,1811.0571132162927,2744.231241675421,2353.763909185959,2456.929493061428,1811.0571132162927,2744.231241675421,2353.763909185959,2456.929493061428
9223372032559820807.jpg,2648.0861280551785,2872.61918087884,2420.9096517275852,2828.1489246078454,2648.0861280551785,2872.61918087884,2420.9096517275852,2828.1489246078454
317657.jpg,1193.6433203641786,1074.7672859322852,1108.3888981093162,1202.7416550482856,1193.6433203641786,1074.7672859322852,1108.3888981093162,1202.7416550482856
233093.jpg,1823.0969844448105,2219.2703032257164,2091.699019671267,2220.4848359747343,1823.0969844448105,2219.2703032257164,2091.699019671267,2220.4848359747343
9223372032559820813.jpg,4961.917176433965,5650.575519480851,5220.34547926774,5466.3778693184695,4961.917176433965,5650.575519480851,5220.34547926774,5466.3778693184695
317643.jpg,2517.9645932367507,2789.6746835691392,2481.794977276086,2922.3966676419122,2517.9645932367507,2789.6746835691392,2481.794977276086,2922.3966676419122
233087.jpg,2531.1191056503653,2944.0160278319477,2826.7737902666686,2902.3618246711726,2531.1191056503653,2944.0160278319477,2826.7737902666686,2902.3618246711726
333093.jpg,2115.8128365219764,2447.9421206979273,1806.9980849675524,2477.0024455080015,2115.8128365219764,2447.9421206979273,1806.9980849675524,2477.0024455080015
317904.jpg,6088.8626338706845,6801.349865773521,6749.970028279652,6660.830218268381,6088.8626338706845,6801.349865773521,6749.970028279652,6660.830218268381
329632.jpg,5389.012935528138,6088.942002718972,5593.305159431431,5301.649070000684,5389.012935528138,6088.942002718972,5593.305159431431,5301.649070000684
233118.jpg,5154.520888940522,5838.203741370858,5665.483097549375,5702.404717878507,5154.520888940522,5838.203741370858,5665.483097549375,5702.404717878507
9223372032559820754.jpg,2210.0009625828534,2299.8658387778555,1624.5215321814956,2153.3965625539213,2210.0009625828534,2299.8658387778555,1624.5215321814956,2153.3965625539213
329626.jpg,914.5000670276066,910.873972717135,808.0809792795203,910.5866414086146,914.5000670276066,910.873972717135,808.0809792795203,910.5866414086146
317910.jpg,3553.6711490783796,4001.214345284444,3506.573975911683,4018.842004528241,3553.6711490783796,4001.214345284444,3506.573975911683,4018.842004528241
333118.jpg,10069.076607430477,11598.066324200425,10139.390664322595,10631.25688613868,10069.076607430477,11598.066324200425,10139.390664322595,10631.25688613868
315691.jpg,2350.9066361411215,3241.7385560681814,2900.8967515928803,3126.108389711973,2350.9066361411215,3241.7385560681814,2900.8967515928803,3126.108389711973
233642.jpg,3843.375364682758,3760.025298342439,3563.875889785322,3640.60367004204,3843.375364682758,3760.025298342439,3563.875889785322,3640.60367004204
233124.jpg,3511.7459089391205,4390.890518567697,4057.967217116801,4458.402545187179,3511.7459089391205,4390.890518567697,4057.967217116801,4458.402545187179
9223372032559820768.jpg,1960.4904893502007,2351.3035160823474,1979.1021091109458,2190.816576972626,1960.4904893502007,2351.3035160823474,1979.1021091109458,2190.816576972626
233656.jpg,2944.608241089143,2772.16976223169,2761.376237591648,3005.275909312002,2944.608241089143,2772.16976223169,2761.376237591648,3005.275909312002
315685.jpg,6091.610667146695,8802.658109831173,8942.004394112337,8410.203710671716,6091.610667146695,8802.658109831173,8942.004394112337,8410.203710671716
9223372032559820797.jpg,1711.535349802848,1848.6167707029213,1496.135376972115,1740.7214332378774,1711.535349802848,1848.6167707029213,1496.135376972115,1740.7214332378774
318438.jpg,1806.3076115061701,2501.865292192657,2654.3552200171844,2363.3583450210713,1806.3076115061701,2501.865292192657,2654.3552200171844,2363.3583450210713
9223372032559820783.jpg,1813.877245950825,1860.4672648261733,1518.6647105474085,1651.807300751385,1813.877245950825,1860.4672648261733,1518.6647105474085,1651.807300751385
233681.jpg,5246.648749069881,4918.971053683438,4914.892316402851,5258.483021766466,5246.648749069881,4918.971053683438,4914.892316402851,5258.483021766466
233695.jpg,4353.801132517148,4297.935049395861,3568.993951198226,3949.3745683077027,4353.801132517148,4297.935049395861,3568.993951198226,3949.3745683077027
222217.jpg,11403.675459563487,12718.91613231549,11102.861490637853,12011.59889026251,11403.675459563487,12718.91613231549,11102.861490637853,12011.59889026251
9223372032559823739.jpg,3293.8884568928083,3769.5786613176033,3235.059348967939,3480.6727989110423,3293.8884568928083,3769.5786613176033,3235.059348967939,3480.6727989110423
193100.jpg,2780.5453255506004,3652.3200431183895,3893.195875538174,3630.0847080657977,2780.5453255506004,3652.3200431183895,3893.195875538174,3630.0847080657977
239623.jpg,3073.706664121428,2946.708271873086,2428.8333266325612,2986.3937771368783,3073.706664121428,2946.708271873086,2428.8333266325612,2986.3937771368783
222203.jpg,2401.2501093212572,3690.566463611714,3623.976910715271,3653.6981254227385,2401.2501093212572,3690.566463611714,3623.976910715271,3653.6981254227385
233326.jpg,2528.342423857592,2652.4103330846874,2677.3153856149197,2617.0312765689678,2528.342423857592,2652.4103330846874,2677.3153856149197,2617.0312765689678
9223372032559850933.jpg,4912.507117834647,5882.762801426537,6175.495455707235,5797.892234044128,4912.507117834647,5882.762801426537,6175.495455707235,5797.892234044128
223653.jpg,998.2035083735714,1153.9104212859631,1007.0178245067943,1191.1321450906064,998.2035083735714,1153.9104212859631,1007.0178245067943,1191.1321450906064
9223372032559850927.jpg,711.5030810810297,971.2861755737961,1058.8355500000985,904.8981608089076,711.5030810810297,971.2861755737961,1058.8355500000985,904.8981608089076
223647.jpg,1547.5625249250365,1954.4930317063743,2135.1231625347395,2307.257173243629,1547.5625249250365,1954.4930317063743,2135.1231625347395,2307.257173243629
233332.jpg,3674.702559614855,3941.198244659596,4097.195541235066,4021.962657415166,3674.702559614855,3941.198244659596,4097.195541235066,4021.962657415166
9223372032559854214.jpg,2794.228730739586,4691.298049576161,3694.777312610411,4742.1097417166875,2794.228730739586,4691.298049576161,3694.777312610411,4742.1097417166875
240337.jpg,4382.091822439724,4728.927856547214,4958.138012489475,5299.082462237131,4382.091822439724,4728.927856547214,4958.138012489475,5299.082462237131
